,enriched_smiles,name
286,[Be]=[C]1N(c2c(C)cccc2C)CCN1c1c(C)cccc1C,ligand1862-0
287,[Li]<-P(C(F)=C(F)F)(c1ccccc1)c1ccccc1,ligand1867-0
288,[Be]=[C]1N(C)C=CN1CCCN1C(=O)c2cccc3cccc(c23)C1=O,ligand1876-0
289,[Li]<-n1c(-c2cc3cccc(OC)c3oc2=O)[nH]c2ccccc21,ligand1886-0
290,[Be]=[C](N(c1ccccc1)C12CC3CC(CC(C3)C1)C2)N(c1ccccc1)C12CC3CC(CC(C3)C1)C2,ligand1889-0
291,[Be]=[C]1N(CCCC)c2ccccc2N1CC(N)=O,ligand1890-0
292,[Li]<-n1cccc2cccc(OCCCOc3cccc4cccnc34)c21,ligand1891-0
293,[Li]<-P(Oc1ccccc1)(C(C)C)C(C)C,ligand1896-0
294,[Li]<-n1cccc(C)c1,ligand177-0
295,[Li]<-P(CCC(=O)NCCC(=O)OC)(c1ccccc1)c1ccccc1,ligand1934-0
296,[Li]<-n1nn(C(C)(C)C)nc1CC(=O)O,ligand1937-0
297,[Li]<-S=C(N)N,ligand1950-0
298,[Be]=[C]1N(C(C)C)C(C)=C(C)N1C(C)C,ligand1951-0
299,[Li]<-P(CC1OCCO1)(c1ccccc1)c1ccccc1,ligand1952-0
300,[Be]=[C]1N(Cc2c(F)c(F)c(F)c(F)c2F)C=CN1c1c(F)c(F)c(F)c(F)c1F,ligand1954-0
301,[Be]=[Si](c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,ligand1958-0
302,[Li]<-O=C(CN(Cc1ccccn1)Cc1ccccn1)N(CC)CC,ligand1960-0
303,[Li]<-n1cccn1C(c1cc[nH]n1)n1cccn1,ligand1970-0
304,[Li]<-[O-][N+](C)=Cc1ccccc1,ligand1976-0
305,[Li]<-O1CCOCC1,ligand2000-0
306,[Be]=[C]1N(C)C(Cl)=C(Cl)N1C,ligand2016-0
307,[Li]<-n1cn(C)c2ncnc(N)c21,ligand2031-0
308,[Li]<-P(Nc1c(C)cc(C)cc1C)(C(C)C)C(C)C,ligand2042-0
309,[Be]=[C]1N(Cc2ccc(OC)cc2)c2ccccc2N1Cc1ccc(OC)cc1,ligand2047-0
310,[Li]<-p1(N2CCCC2C(c2ccccc2)c2ccccc2)c(C)c(C)c(C)c1C,ligand2054-0
311,[Be]=[C]1N(c2ccc(-n3nc(C)cc3C)nn2)C=CN1C(C)(C)C,ligand2062-0
312,[Li]<-NC1CC1,ligand1781-0
313,[Li]<-NCCCO,ligand2099-0
314,[Li]<-N(N=Cc1cccc(OC)c1)=c1[nH]nc(C)c(=O)n1N,ligand483-0
315,[Li]<-n1cccnc1,ligand578-0
316,[Li]<-N=C(C)N1CCCCC1,ligand2125-0
317,[Li]<-n1ccccc1-c1c(C)cc(C)cc1C,ligand2138-0
318,[Li]<-N=P(CCC)(CCC)CCC,ligand2143-0
319,[Be]=[C]1N(CCN=C2N(c3ccccc3)C(=Nc3ccccc3)C2(C)C)C=CN1Cc1ccccc1,ligand2145-0
320,[Be]=[C]1N(C)C=CN1CCCC,ligand2156-0
321,[Li]<-n1ccc(C)c(C)c1,ligand222-0
322,[Li]<-N(=c1ccn(C)cc1)C(C)C,ligand2173-0
323,[Li]<-S=c1[nH]c2ccccc2s1,ligand2182-0
324,[Be]=[C]1N(CC(C)(C)C)c2ccccc2N1CC(C)(C)C,ligand2189-0
325,[Be]=[C]1N(C(C)(C)C)C=C(B2C3CCCC2CCC3)N1C(C)(C)C,ligand2206-0
326,[Li]<-n1cccc(C(=O)Nc2ccc(Cl)cc2)c1,ligand2207-0
327,[Li]<-S=c1cccc[nH]1,ligand2212-0
328,[Li]<-P(CC=C)(c1ccccc1)c1ccccc1,ligand2213-0
329,[Li]<-P(n1cccc1)(n1cccc1)n1cccc1,ligand2215-0
330,[Li]<-S=c1n(C)ccn1-c1ccccc1,ligand2229-0
331,[Li]<-P(c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1,ligand2250-0
332,[Be]=[C]1N(C(C)C)c2ccccc2N1C(C)C,ligand2253-0
333,[Li]<-[c-]1cc(C)n(C)[n+]1-c1ccccc1,ligand1382-0
334,[Li]<-S(CC)CC,ligand2265-0
335,[Li]<-S=c1[nH]nc(-c2cccc(OC)c2O)n1C,ligand2273-0
336,[Li]<-n1ccnc(C(=O)Nc2cc(F)ccc2F)c1,ligand2274-0
337,[Li]<-n1nnn(-c2ccc([N+](=O)[O-])cc2)c1C,ligand2275-0
338,[Li]<-N(=c1cc[cH-]cc1)[N+](=C(OC)c1ccccc1)c1ccccc1,ligand2284-0
