tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand401-0,[H]/C(=N\C([H])([H])C([H])([H])/N=C(\[H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],"[[17], [24]]",COc1ccc(C=N2CCN(=Cc3ccc(OC)cc3)->[Ir]<-2)cc1
ligand425-0,[H]/N=C(/n1nc(C([H])([H])[H])c([H])c1C([H])([H])[H])C([H])([H])[H],"[[2], [16]]",CC1=N->[Ir]<-n2c(C)cc(C)n21
ligand430-0,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],"[[1], [9]]",CN1(C)CCN(C)(C)->[Ir]<-1
ligand432-0,[H]N(C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],"[[3], [35]]",CC(C)P1(CCNCCP(->[Ir]<-1)(C(C)C)C(C)C)C(C)C
ligand439-0,[H]C1=C([H])C([H])=C(C([H])([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N=C1C([H])([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"[[0], [40]]",CC(C)(C)P1(Cc2cccc(CP(->[Ir]<-1)(C(C)(C)C)C(C)(C)C)n2)C(C)(C)C
ligand455-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C(N([H])P(C3=C([H])C([H])=C([H])C([H])=C3[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [25]]",c1ccc(P2(Nc3ccccc3P(->[Ir]<-2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1
ligand460-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2C2=N[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O2)C([H])=C1[H],"[[0], [28]]",CC(C)C1COC2c3ccccc3P(->[Ir]<-N=21)(c1ccccc1)c1ccccc1
ligand461-0,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],"[[0], [12]]",CN1CCN(C)(C)->[Ir]<-1
ligand463-0,[H]c1nc(C([H])([H])SC([H])([H])c2nc([H])n([H])c2C([H])([H])[H])c(C([H])([H])[H])n1[H],"[[10], [11]]",Cc1[nH]cn2->[Ir]<-n3c[nH]c(C)c3CSCc12
ligand490-0,[H]C([H])([H])N(C(=NC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],"[[0], [8]]",CCN1(CC)CCN(->[Ir]<-1)=C(N(C)C)N(C)C
ligand502-0,[H]C1=C([H])C([H])=C(N(C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [30]]",c1ccc(N2CP(->[Ir]<-P(C2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1
ligand511-0,[H]/C(=C(/[H])c1c([H])c([H])c(-n2c([H])nc([H])c2[H])c([H])c1[H])c1c([H])c([H])c(-c2c([H])c(-c3nc([H])c([H])c([H])c3[H])nc(-c3nc([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],"[[8], [13]]",C(=Cc1ccc(-n2ccnc2)cc1)c1ccc(-c2cc3-c4ccccn4->[Ir]<-n4ccccc4-c(c2)n3)cc1
ligand531-0,[H]OC([H])([H])[C@@]([H])(/N=C(\[H])c1nc([H])c([H])c([H])c1[H])C(=O)OC([H])([H])[H],"[[0], [11]]",COC(=O)C(CO)N1=Cc2ccccn2->[Ir]<-1
ligand539-0,[H]N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],"[[0], [10]]",C1CN2->[Ir]<-N1CC2
ligand542-0,[H]c1nc(-c2nc(-c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c(Cl)c([H])c([H])c3n2)c([H])c([H])c1[H],"[[11], [23]]",Clc1ccc2c(c1)c(-c1ccccc1)nc1-c3ccccn3->[Ir]<-n12
ligand549-0,[H]c1c2nc(c([H])c1[H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1nc(c([H])c([H])c1[H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H],"[[0], [39]]",CC(C)N1Cc2cccc3n2->[Ir]<-n2c(cccc2CN(C(C)C)C3)C1
ligand563-0,[H]N1C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C1([H])[H],"[[0], [38]]",C1COCCN2->[Ir]<-N(CCO1)CCOCCOCC2
ligand572-0,[H]C1=NC(P2C([H])([H])N(C3=C([H])C([H])=C(C([H])([H])[H])C([H])=C3[H])C([H])([H])P(C3=C([H])C([H])=C([H])C([H])=N3)C([H])([H])N(C3=C([H])C([H])=C(C([H])([H])[H])C([H])=C3[H])C2([H])[H])=C([H])C([H])=C1[H],"[[0], [19]]",Cc1ccc(N2CP3(->[Ir]<-P(c4ccccn4)(C2)CN(c2ccc(C)cc2)C3)c2ccccn2)cc1
ligand577-0,[H]N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(N([H])C([H])([H])[H])C([H])([H])[H],"[[0], [17]]",CC1CC(C)N(C)->[Ir]<-N1C
