,enriched_smiles,name
224,[Ir]<-[Se](CCN1(->[Ir])CCCCC1)c1ccccc1,ligand1638-0
225,Nc1cccc(-c2ccccn2->[Ir])n1->[Ir],ligand1645-0
226,CCCCOc1ccc(N(->[Ir])=C2C(=N(->[Ir])c3ccc(OCCCC)cc3)c3cccc4cccc2c34)cc1,ligand1652-0
227,O=C(NN(->[Ir])=Cc1cccc2cccn(->[Ir])c12)c1ccc(O)cc1,ligand1656-0
228,[Ir]<-n1ccccc1CCP(->[Ir])(c1ccccc1)c1ccccc1,ligand1657-0
229,CC(C)P(->[Ir])(C[As](->[Ir])(C(C)(C)C)C(C)(C)C)C(C)C,ligand1661-0
230,Oc1ccccc1-c1nc(-c2ccccn2->[Ir])n(->[Ir])[nH]1,ligand1676-0
231,[Ir]<-n1ccccc1-c1cc(-c2ccccc2)cc(-c2ccccn2)n1->[Ir],ligand1680-0
232,[Ir]<-P(OC1CCCCC1OP(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand1684-0
233,CC(C)NP(->[Ir])(c1ccccc1)N(C(C)C)P(->[Ir])(c1ccccc1)c1ccccc1,ligand1689-0
234,CC1(C)c2cccc(P(->[Ir])(c3ccccc3)c3ccccc3)c2Oc2c1cccc2P(->[Ir])(c1ccccc1)c1ccccc1,ligand1690-0
235,CC(C)=N(->[Ir])NC(N)=S->[Ir],ligand1698-0
236,CC1=C(c2ccccc2)P2(->[Ir])CC1(C)CC2CP(->[Ir])(c1ccccc1)c1ccccc1,ligand1709-0
237,COC(c1cccc(-c2cccc(C(OC)C(C)(C)C)n2->[Ir])n1->[Ir])C(C)(C)C,ligand1710-0
238,CC(C(c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1)N(C)->[Ir],ligand1725-0
239,CN(C)(->[Ir])c1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1,ligand1729-0
240,[Be]=[C]1N(CCCC)C=CN1c1ncccn1->[Ir],ligand1732-0
241,ON=C(c1ccccn1->[Ir])c1ccccn1->[Ir],ligand1733-0
242,Cc1cccc(C(C)N(->[Ir])C(C)c2ccccc2)n1->[Ir],ligand1749-0
243,CCc1cccc(CC)c1N(->[Ir])C(C)c1cccc(CO)n1->[Ir],ligand1753-0
244,COc1ccccc1P(->[Ir])(CCCP(->[Ir])(c1ccccc1OC)c1ccccc1OC)c1ccccc1OC,ligand1754-0
245,Cc1ccc(N(->[Ir])=Cc2ccccn2->[Ir])cc1,ligand1758-0
246,CNC(=O)c1cccc(C(C)C)c1N(->[Ir])=C(C)C(C)=N(->[Ir])c1c(C(C)C)cccc1C(C)C,ligand1777-0
247,CN(C(=O->[Ir])N(C)P(->[Ir])(c1ccccc1)C(C)(C)C)P(c1ccccc1)C(C)(C)C,ligand1786-0
248,Cc1cc(C)n(->[Ir])n1C(c1ccccn1)n1c(C)cc(C)n1->[Ir],ligand1793-0
249,CP(=O)(CN->[Ir])CN->[Ir],ligand1813-0
250,O=C(O)CCCN(->[Ir])=Cc1ccccn1->[Ir],ligand1814-0
251,O=P(CN(c1ccccn1->[Ir])P(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand1819-0
252,[Ir]<-N1CCSCCOCCOCCS(->[Ir])CC1,ligand1838-0
253,COC(=O)c1ccn(->[Ir])c(-c2cc(C(=O)OC)ccn2->[Ir])c1,ligand1840-0
254,COc1cccc(-c2nc3c4cccn(->[Ir])c4c4c(cccn4->[Ir])c3[nH]2)c1,ligand1864-0
255,CC(C)OC(=O)c1ccn(->[Ir])c(-c2cc(C(=O)OC(C)C)ccn2->[Ir])c1,ligand1875-0
256,Brc1ccc(-c2nc3c4cccn(->[Ir])c4c4c(cccn4->[Ir])c3[nH]2)s1,ligand1881-0
257,[Be]=[C]1N(Cc2ccccc2CN2C=NN(CCCC)[C]2=[Be])C=NN1CCCC,ligand1887-0
258,Brc1ccc(-c2ccc(N(P(->[Ir])(c3ccccc3)c3ccccc3)P(->[Ir])(c3ccccc3)c3ccccc3)cc2)cc1,ligand1897-0
259,Cn1ccn(->[Ir])c1C(O)c1n(C)ccn1->[Ir],ligand1906-0
